,Insurance,Policy Holders,Premium Amounts,Claim Amounts,Premium Type,Insurance Year,Casualty Year,Casualty Month,Total Vehicles Crashed,Sex,Age
3069,The New India Assurance,2168,31781.0,38862.0,Commercial Insurance Premium,2014,2015,December,10,Female,23
3070,The New India Assurance,3756,36687.0,74530.0,Personal Insurance Premium,2018,2019,March,7,Male,19
3072,ICICI Lombard General Insurance,3961,49332.0,68669.0,Personal Insurance Premium,2016,2017,October,8,Male,69
3073,TATA AIG General Insurance,2722,24442.0,59535.0,Commercial Insurance Premium,2016,2017,June,4,Male,25
3074,ICICI Lombard General Insurance,4635,35801.0,68969.0,Commercial Insurance Premium,2016,2017,September,8,Male,23
3075,HDFC ERGO General Insurance,4542,26987.0,72028.0,Personal Insurance Premium,2018,2019,February,5,Male,72
3076,TATA AIG General Insurance,3395,38868.0,98076.0,Commercial Insurance Premium,2017,2018,May,3,Male,72
3077,TATA AIG General Insurance,2136,33901.0,98329.0,Personal Insurance Premium,2015,2016,December,10,Female,69
3078,The New India Assurance,4561,20280.0,41456.0,Personal Insurance Premium,2015,2016,November,2,Female,34
3079,The New India Assurance,4988,39706.0,88318.0,Personal Insurance Premium,2017,2018,March,2,Male,34
3081,The New India Assurance,4787,29553.0,26192.0,Personal Insurance Premium,2018,2019,September,8,Female,43
3082,ICICI Lombard General Insurance,1961,33363.0,97754.0,Commercial Insurance Premium,2014,2015,March,2,Female,48
3083,The Oriental Insurance Company,2844,43320.0,79800.0,Personal Insurance Premium,2018,2019,August,1,Male,41
3085,The New India Assurance,4704,49110.0,98014.0,Personal Insurance Premium,2018,2019,October,6,Male,21
3087,HDFC ERGO General Insurance,1648,22770.0,36064.0,Personal Insurance Premium,2015,2016,November,6,Male,73
3089,HDFC ERGO General Insurance,1536,43096.0,76681.0,Personal Insurance Premium,2015,2016,November,1,Male,37
3092,The Oriental Insurance Company,3190,22327.0,75778.0,Personal Insurance Premium,2016,2017,April,4,Male,42
3094,The New India Assurance,3961,22870.0,72681.0,Commercial Insurance Premium,2018,2019,July,8,Female,43
3096,The Oriental Insurance Company,3568,38628.0,28975.0,Commercial Insurance Premium,2016,2017,June,2,Female,18
3097,The Oriental Insurance Company,1886,35958.0,87058.0,Personal Insurance Premium,2018,2019,November,9,Male,54
3098,The Oriental Insurance Company,2657,36276.0,28521.0,Personal Insurance Premium,2015,2016,October,5,Male,20
3099,The New India Assurance,3046,37301.0,77006.0,Personal Insurance Premium,2016,2017,April,4,Male,76
3100,HDFC ERGO General Insurance,3139,37318.0,89567.0,Commercial Insurance Premium,2017,2018,May,3,Male,36
3101,The Oriental Insurance Company,4929,21507.0,31296.0,Personal Insurance Premium,2018,2019,February,8,Female,69
3103,The Oriental Insurance Company,3734,28635.0,55013.0,Personal Insurance Premium,2014,2015,December,5,Male,42
3104,The New India Assurance,4546,38130.0,26379.0,Commercial Insurance Premium,2018,2019,November,3,Male,69
3106,HDFC ERGO General Insurance,4100,20181.0,70780.0,Personal Insurance Premium,2014,2015,October,4,Male,63
3107,The Oriental Insurance Company,4509,21375.0,39672.0,Personal Insurance Premium,2016,2017,October,4,Male,33
3108,ICICI Lombard General Insurance,3538,31615.0,84424.0,Personal Insurance Premium,2018,2019,December,6,Female,28
3109,HDFC ERGO General Insurance,4494,30452.0,95547.0,Commercial Insurance Premium,2014,2015,April,9,Male,73
3111,HDFC ERGO General Insurance,1741,23956.0,59989.0,Commercial Insurance Premium,2016,2017,March,1,Female,57
3112,TATA AIG General Insurance,3915,26529.0,42187.0,Personal Insurance Premium,2016,2017,February,5,Male,69
3113,TATA AIG General Insurance,4796,35012.0,28576.0,Personal Insurance Premium,2017,2018,March,8,Male,23
3114,TATA AIG General Insurance,1490,33420.0,59122.0,Commercial Insurance Premium,2016,2017,August,2,Male,60
3115,ICICI Lombard General Insurance,4589,25842.0,66628.0,Commercial Insurance Premium,2017,2018,November,8,Male,38
3116,The Oriental Insurance Company,3004,41784.0,50509.0,Personal Insurance Premium,2017,2018,January,2,Male,62
3117,TATA AIG General Insurance,4504,29956.0,55013.0,Commercial Insurance Premium,2016,2017,December,5,Female,69
3118,The New India Assurance,4048,34299.0,40115.0,Personal Insurance Premium,2014,2015,April,9,Male,65
3120,TATA AIG General Insurance,1522,42225.0,93871.0,Commercial Insurance Premium,2018,2019,November,3,Female,52
3121,The New India Assurance,2700,23307.0,69761.0,Commercial Insurance Premium,2017,2018,October,3,Female,37
3122,TATA AIG General Insurance,3710,45400.0,60040.0,Commercial Insurance Premium,2016,2017,November,1,Female,40
3123,ICICI Lombard General Insurance,2757,42996.0,39175.0,Personal Insurance Premium,2015,2016,August,9,Male,39
3124,ICICI Lombard General Insurance,2618,24930.0,37237.0,Commercial Insurance Premium,2018,2019,August,5,Female,46
3125,TATA AIG General Insurance,1324,39727.0,47723.0,Personal Insurance Premium,2017,2018,August,8,Female,61
3126,TATA AIG General Insurance,4441,24539.0,96603.0,Personal Insurance Premium,2014,2015,November,7,Male,30
3127,TATA AIG General Insurance,4086,48730.0,70435.0,Commercial Insurance Premium,2016,2017,October,4,Male,57
3128,The Oriental Insurance Company,2534,23725.0,42250.0,Commercial Insurance Premium,2017,2018,November,7,Female,69
3129,ICICI Lombard General Insurance,2890,22174.0,33977.0,Personal Insurance Premium,2016,2017,September,7,Female,75
3130,HDFC ERGO General Insurance,4007,34292.0,59920.0,Commercial Insurance Premium,2018,2019,May,6,Female,68
3131,ICICI Lombard General Insurance,2020,43909.0,70485.0,Personal Insurance Premium,2017,2018,December,7,Female,21
3133,The Oriental Insurance Company,4756,36133.0,53453.0,Commercial Insurance Premium,2015,2016,September,4,Male,22
3136,ICICI Lombard General Insurance,4572,25889.0,50695.0,Commercial Insurance Premium,2014,2015,February,3,Female,63
3139,HDFC ERGO General Insurance,1053,24122.0,20757.0,Personal Insurance Premium,2016,2017,July,10,Male,55
3140,The Oriental Insurance Company,1975,32392.0,65121.0,Commercial Insurance Premium,2017,2018,October,3,Male,49
3141,ICICI Lombard General Insurance,3414,22377.0,32798.0,Personal Insurance Premium,2017,2018,November,10,Female,57
3142,TATA AIG General Insurance,4234,31372.0,96946.0,Commercial Insurance Premium,2016,2017,August,3,Female,25
3143,TATA AIG General Insurance,1013,36222.0,56258.0,Commercial Insurance Premium,2016,2017,September,9,Male,35
3144,TATA AIG General Insurance,2077,33854.0,27313.0,Personal Insurance Premium,2015,2016,May,3,Female,55
3146,The Oriental Insurance Company,3529,46965.0,87241.0,Personal Insurance Premium,2017,2018,February,2,Male,48
3148,The New India Assurance,4243,20361.0,78857.0,Commercial Insurance Premium,2015,2016,April,10,Female,35
3149,HDFC ERGO General Insurance,1464,43946.0,64306.0,Personal Insurance Premium,2014,2015,November,4,Male,77
3150,TATA AIG General Insurance,3375,23594.0,56824.0,Personal Insurance Premium,2017,2018,January,1,Male,34
3151,The Oriental Insurance Company,3905,21242.0,55567.0,Personal Insurance Premium,2014,2015,October,5,Female,48
3152,The New India Assurance,3474,20103.0,56849.0,Commercial Insurance Premium,2016,2017,July,6,Male,44
3153,TATA AIG General Insurance,1278,33024.0,29279.0,Personal Insurance Premium,2017,2018,September,3,Female,56
3154,TATA AIG General Insurance,2095,36766.0,87228.0,Commercial Insurance Premium,2017,2018,October,5,Female,47
3155,ICICI Lombard General Insurance,2536,25499.0,43916.0,Commercial Insurance Premium,2015,2016,January,6,Male,60
3156,ICICI Lombard General Insurance,4026,30957.0,71536.0,Commercial Insurance Premium,2015,2016,November,4,Female,69
3157,The New India Assurance,3627,30381.0,94294.0,Commercial Insurance Premium,2014,2015,October,4,Female,26
3158,ICICI Lombard General Insurance,4635,38131.0,27182.0,Commercial Insurance Premium,2018,2019,December,8,Male,47
3160,HDFC ERGO General Insurance,1346,31204.0,48588.0,Commercial Insurance Premium,2018,2019,May,9,Male,53
3161,TATA AIG General Insurance,3380,25166.0,48555.0,Commercial Insurance Premium,2015,2016,July,1,Female,34
3162,The Oriental Insurance Company,3833,41545.0,59865.0,Commercial Insurance Premium,2018,2019,November,8,Male,69
3166,TATA AIG General Insurance,1660,34239.0,46264.0,Commercial Insurance Premium,2014,2015,August,6,Male,24
3167,ICICI Lombard General Insurance,1320,40218.0,95226.0,Commercial Insurance Premium,2016,2017,May,8,Male,33
3168,ICICI Lombard General Insurance,2300,22872.0,23968.0,Personal Insurance Premium,2014,2015,March,7,Male,44
3169,ICICI Lombard General Insurance,1026,38209.0,21383.0,Commercial Insurance Premium,2014,2015,May,4,Male,31
3170,HDFC ERGO General Insurance,3975,32398.0,57958.0,Commercial Insurance Premium,2016,2017,November,9,Male,43
3171,HDFC ERGO General Insurance,3424,20902.0,88544.0,Personal Insurance Premium,2018,2019,September,5,Female,24
3174,TATA AIG General Insurance,4448,46050.0,52711.0,Commercial Insurance Premium,2018,2019,April,9,Female,38
3175,The Oriental Insurance Company,3707,35564.0,84503.0,Personal Insurance Premium,2015,2016,April,3,Male,52
3176,The Oriental Insurance Company,1505,31389.0,84951.0,Commercial Insurance Premium,2015,2016,December,2,Male,27
3177,The New India Assurance,4501,43920.0,41911.0,Personal Insurance Premium,2018,2019,March,10,Male,74
3178,TATA AIG General Insurance,3240,45409.0,73631.0,Personal Insurance Premium,2016,2017,November,5,Female,31
3179,HDFC ERGO General Insurance,2043,39134.0,41829.0,Commercial Insurance Premium,2015,2016,August,1,Male,78
3180,The New India Assurance,4997,21790.0,28748.0,Commercial Insurance Premium,2014,2015,April,6,Female,25
3181,HDFC ERGO General Insurance,1451,24748.0,26102.0,Personal Insurance Premium,2016,2017,August,2,Male,47
3182,ICICI Lombard General Insurance,1401,23471.0,95919.0,Commercial Insurance Premium,2015,2016,December,9,Male,75
3183,The Oriental Insurance Company,2862,33931.0,20759.0,Personal Insurance Premium,2018,2019,December,4,Male,22
3185,HDFC ERGO General Insurance,1977,47418.0,98123.0,Personal Insurance Premium,2017,2018,June,5,Male,74
3187,TATA AIG General Insurance,3267,35167.0,30978.0,Commercial Insurance Premium,2016,2017,May,6,Male,61
3188,TATA AIG General Insurance,1375,33094.0,48321.0,Personal Insurance Premium,2017,2018,July,9,Female,70
3189,The New India Assurance,3979,20886.0,44922.0,Commercial Insurance Premium,2014,2015,February,5,Male,54
3190,HDFC ERGO General Insurance,2809,36876.0,93906.0,Personal Insurance Premium,2014,2015,September,9,Female,65
3191,The Oriental Insurance Company,4738,40124.0,80014.0,Commercial Insurance Premium,2014,2015,September,1,Male,31
3192,The New India Assurance,4670,38621.0,71402.0,Personal Insurance Premium,2015,2016,November,5,Male,44
3193,The New India Assurance,4297,37300.0,83358.0,Commercial Insurance Premium,2018,2019,August,5,Male,46
3194,ICICI Lombard General Insurance,1394,30764.0,85329.0,Personal Insurance Premium,2018,2019,January,2,Male,75
3196,ICICI Lombard General Insurance,1548,34401.0,77793.0,Commercial Insurance Premium,2018,2019,September,6,Female,46
3197,ICICI Lombard General Insurance,2706,26157.0,89421.0,Commercial Insurance Premium,2014,2015,August,2,Female,41
3200,ICICI Lombard General Insurance,2761,40345.0,38021.0,Personal Insurance Premium,2016,2017,October,3,Female,77
3201,HDFC ERGO General Insurance,2184,45127.0,63022.0,Personal Insurance Premium,2014,2015,January,1,Male,19
3203,TATA AIG General Insurance,1350,37029.0,53557.0,Personal Insurance Premium,2016,2017,November,3,Female,48
3204,The Oriental Insurance Company,2761,48660.0,42224.0,Personal Insurance Premium,2016,2017,December,6,Female,63
3205,The Oriental Insurance Company,4560,24057.0,94893.0,Personal Insurance Premium,2014,2015,August,2,Female,57
3206,The Oriental Insurance Company,1906,39860.0,71498.0,Commercial Insurance Premium,2017,2018,February,6,Male,34
3207,ICICI Lombard General Insurance,2823,44587.0,27993.0,Personal Insurance Premium,2018,2019,February,1,Male,69
3208,ICICI Lombard General Insurance,3940,28901.0,34122.0,Personal Insurance Premium,2016,2017,June,8,Female,28
3209,TATA AIG General Insurance,1133,44863.0,86085.0,Commercial Insurance Premium,2016,2017,January,7,Female,67
3210,The New India Assurance,4283,29114.0,79545.0,Commercial Insurance Premium,2017,2018,March,7,Female,36
3211,The New India Assurance,2306,40446.0,98807.0,Commercial Insurance Premium,2014,2015,September,2,Female,71
3213,The New India Assurance,4780,31102.0,72882.0,Personal Insurance Premium,2015,2016,June,4,Female,60
3214,HDFC ERGO General Insurance,2194,44460.0,25186.0,Personal Insurance Premium,2015,2016,March,5,Male,46
3215,The New India Assurance,2921,43835.0,28887.0,Commercial Insurance Premium,2018,2019,December,1,Male,72
3216,ICICI Lombard General Insurance,2498,31805.0,56831.0,Commercial Insurance Premium,2016,2017,January,10,Female,57
3217,The Oriental Insurance Company,3278,37696.0,23756.0,Commercial Insurance Premium,2016,2017,November,5,Male,25
3218,The New India Assurance,3098,34973.0,64898.0,Commercial Insurance Premium,2014,2015,September,2,Male,57
3219,The Oriental Insurance Company,3797,30956.0,54388.0,Commercial Insurance Premium,2015,2016,July,1,Female,74
3221,The Oriental Insurance Company,1464,21274.0,25656.0,Personal Insurance Premium,2017,2018,October,2,Male,58
3222,The New India Assurance,1982,27814.0,38371.0,Personal Insurance Premium,2014,2015,September,10,Female,68
3223,The Oriental Insurance Company,2994,46048.0,66613.0,Personal Insurance Premium,2017,2018,September,8,Male,60
3224,The New India Assurance,3553,21816.0,21611.0,Personal Insurance Premium,2014,2015,June,9,Female,38
3225,TATA AIG General Insurance,4765,41562.0,53817.0,Commercial Insurance Premium,2014,2015,August,8,Male,35
3226,TATA AIG General Insurance,2122,37277.0,55781.0,Commercial Insurance Premium,2015,2016,December,4,Male,24
3227,TATA AIG General Insurance,3263,34635.0,81765.0,Personal Insurance Premium,2018,2019,November,10,Female,35
3229,The New India Assurance,4279,26779.0,33219.0,Personal Insurance Premium,2016,2017,July,2,Male,23
3230,The Oriental Insurance Company,2606,28200.0,58793.0,Personal Insurance Premium,2015,2016,April,10,Female,71
3232,The New India Assurance,1955,39426.0,97371.0,Personal Insurance Premium,2014,2015,March,3,Female,70
3233,The Oriental Insurance Company,1675,29675.0,60977.0,Commercial Insurance Premium,2016,2017,November,1,Male,22
3234,The New India Assurance,4318,22546.0,28351.0,Personal Insurance Premium,2018,2019,July,9,Female,30
3235,The New India Assurance,2031,41844.0,66721.0,Commercial Insurance Premium,2016,2017,August,2,Male,40
3236,HDFC ERGO General Insurance,4226,34694.0,43188.0,Personal Insurance Premium,2018,2019,July,8,Male,28
3237,HDFC ERGO General Insurance,4499,34165.0,73497.0,Commercial Insurance Premium,2015,2016,December,6,Male,18
3239,ICICI Lombard General Insurance,3861,33179.0,89991.0,Commercial Insurance Premium,2015,2016,March,6,Female,34
3240,HDFC ERGO General Insurance,1710,20652.0,43528.0,Personal Insurance Premium,2014,2015,May,10,Female,19
3244,The New India Assurance,3349,32929.0,92811.0,Commercial Insurance Premium,2014,2015,March,2,Male,48
3245,The Oriental Insurance Company,3309,32734.0,31732.0,Commercial Insurance Premium,2015,2016,December,10,Female,59
3246,TATA AIG General Insurance,4711,46279.0,96389.0,Personal Insurance Premium,2015,2016,February,8,Female,26
3248,The New India Assurance,2937,45569.0,47279.0,Personal Insurance Premium,2015,2016,August,10,Male,62
3250,ICICI Lombard General Insurance,2026,27356.0,79737.0,Personal Insurance Premium,2017,2018,February,9,Female,39
3252,HDFC ERGO General Insurance,3580,43191.0,89020.0,Commercial Insurance Premium,2014,2015,December,7,Male,57
3253,The New India Assurance,2921,21738.0,62008.0,Commercial Insurance Premium,2015,2016,October,10,Female,43
3254,ICICI Lombard General Insurance,1870,22973.0,92592.0,Personal Insurance Premium,2015,2016,October,1,Male,60
3255,HDFC ERGO General Insurance,2352,28027.0,98247.0,Commercial Insurance Premium,2018,2019,May,7,Female,54
3256,HDFC ERGO General Insurance,3954,47008.0,64009.0,Commercial Insurance Premium,2016,2017,August,5,Male,47
3257,HDFC ERGO General Insurance,4111,48301.0,30388.0,Personal Insurance Premium,2018,2019,September,1,Female,35
3258,The Oriental Insurance Company,1650,24445.0,28418.0,Personal Insurance Premium,2015,2016,August,3,Male,21
3259,TATA AIG General Insurance,2677,41428.0,29388.0,Personal Insurance Premium,2015,2016,October,2,Female,27
3260,ICICI Lombard General Insurance,3665,29705.0,45218.0,Commercial Insurance Premium,2016,2017,August,10,Male,39
3261,TATA AIG General Insurance,4678,46656.0,71220.0,Commercial Insurance Premium,2016,2017,April,6,Male,19
3262,HDFC ERGO General Insurance,2664,35793.0,93770.0,Personal Insurance Premium,2016,2017,June,7,Male,76
3263,The New India Assurance,1040,33365.0,57519.0,Commercial Insurance Premium,2014,2015,February,10,Male,57
3265,The New India Assurance,4921,24412.0,88336.0,Personal Insurance Premium,2017,2018,September,6,Female,27
3266,ICICI Lombard General Insurance,2042,34080.0,83863.0,Commercial Insurance Premium,2015,2016,June,8,Male,47
3267,The Oriental Insurance Company,2903,37711.0,27929.0,Commercial Insurance Premium,2018,2019,July,2,Female,29
3268,HDFC ERGO General Insurance,1311,47395.0,91921.0,Commercial Insurance Premium,2018,2019,February,7,Female,70
3269,HDFC ERGO General Insurance,3987,25080.0,52854.0,Personal Insurance Premium,2014,2015,September,2,Male,47
3270,TATA AIG General Insurance,1489,44947.0,44473.0,Commercial Insurance Premium,2018,2019,December,4,Female,65
3272,The New India Assurance,1071,36871.0,82652.0,Personal Insurance Premium,2015,2016,September,7,Male,27
3273,The New India Assurance,4076,36121.0,91146.0,Personal Insurance Premium,2015,2016,April,3,Male,54
3275,The Oriental Insurance Company,3623,25084.0,53535.0,Personal Insurance Premium,2018,2019,June,5,Male,29
3277,The New India Assurance,4146,49575.0,64931.0,Commercial Insurance Premium,2018,2019,September,2,Male,36
3279,TATA AIG General Insurance,2536,33258.0,72158.0,Commercial Insurance Premium,2015,2016,July,4,Male,28
3280,TATA AIG General Insurance,1256,21374.0,50195.0,Commercial Insurance Premium,2014,2015,July,1,Female,41
3281,HDFC ERGO General Insurance,1402,48256.0,35659.0,Commercial Insurance Premium,2016,2017,September,1,Male,18
3282,TATA AIG General Insurance,1317,20992.0,84926.0,Commercial Insurance Premium,2018,2019,October,3,Male,47
3283,The New India Assurance,2099,48776.0,77965.0,Commercial Insurance Premium,2017,2018,June,5,Female,45
3284,The Oriental Insurance Company,3272,42341.0,34729.0,Personal Insurance Premium,2017,2018,November,9,Female,29
3286,ICICI Lombard General Insurance,1871,32308.0,24144.0,Commercial Insurance Premium,2018,2019,June,2,Male,79
3287,ICICI Lombard General Insurance,4724,42142.0,80914.0,Personal Insurance Premium,2015,2016,June,7,Male,25
3288,HDFC ERGO General Insurance,2620,36542.0,92531.0,Commercial Insurance Premium,2016,2017,June,4,Female,67
3289,The Oriental Insurance Company,4129,21591.0,41412.0,Commercial Insurance Premium,2017,2018,October,4,Male,19
3290,ICICI Lombard General Insurance,4567,32233.0,55646.0,Personal Insurance Premium,2017,2018,February,4,Female,32
3291,TATA AIG General Insurance,4200,44057.0,54966.0,Personal Insurance Premium,2016,2017,June,2,Female,24
3292,TATA AIG General Insurance,1175,24493.0,53264.0,Commercial Insurance Premium,2015,2016,December,7,Female,40
3293,The Oriental Insurance Company,4019,49027.0,88478.0,Commercial Insurance Premium,2017,2018,June,3,Male,41
3295,The New India Assurance,4761,35832.0,37568.0,Personal Insurance Premium,2014,2015,April,4,Male,37
3297,The New India Assurance,1106,40882.0,20194.0,Commercial Insurance Premium,2016,2017,March,4,Male,24
3298,TATA AIG General Insurance,3320,42646.0,64741.0,Commercial Insurance Premium,2016,2017,January,10,Female,74
3299,The New India Assurance,4311,40866.0,48077.0,Commercial Insurance Premium,2016,2017,January,4,Female,56
3300,TATA AIG General Insurance,2624,44828.0,95266.0,Personal Insurance Premium,2015,2016,March,3,Male,53
3301,TATA AIG General Insurance,3922,49660.0,28301.0,Commercial Insurance Premium,2014,2015,April,1,Male,35
3302,ICICI Lombard General Insurance,1226,38019.0,61410.0,Personal Insurance Premium,2017,2018,August,10,Male,36
3303,The Oriental Insurance Company,3670,34404.0,80018.0,Commercial Insurance Premium,2018,2019,February,6,Male,60
3304,TATA AIG General Insurance,3418,43026.0,97745.0,Personal Insurance Premium,2018,2019,November,4,Female,50
3305,HDFC ERGO General Insurance,3212,34411.0,88424.0,Commercial Insurance Premium,2016,2017,May,1,Female,78
3307,The Oriental Insurance Company,2689,34816.0,21657.0,Commercial Insurance Premium,2015,2016,January,5,Female,73
3308,ICICI Lombard General Insurance,4403,21827.0,72044.0,Commercial Insurance Premium,2017,2018,February,6,Female,35
3309,The New India Assurance,1679,21706.0,35112.0,Commercial Insurance Premium,2018,2019,October,2,Male,68
3310,TATA AIG General Insurance,3316,47061.0,37726.0,Commercial Insurance Premium,2016,2017,March,4,Female,25
3311,The New India Assurance,1339,39614.0,83028.0,Personal Insurance Premium,2018,2019,April,3,Female,69
3312,HDFC ERGO General Insurance,2966,36091.0,85743.0,Commercial Insurance Premium,2014,2015,January,8,Female,60
3313,HDFC ERGO General Insurance,3088,43111.0,84682.0,Commercial Insurance Premium,2018,2019,May,10,Female,30
3314,HDFC ERGO General Insurance,4805,27038.0,68536.0,Personal Insurance Premium,2014,2015,October,7,Male,78
3315,The New India Assurance,3992,28451.0,98248.0,Commercial Insurance Premium,2015,2016,April,2,Male,22
3316,The New India Assurance,4448,39097.0,53982.0,Personal Insurance Premium,2018,2019,June,9,Male,73
3317,The Oriental Insurance Company,2901,43639.0,40143.0,Personal Insurance Premium,2016,2017,October,1,Male,44
3318,The New India Assurance,4996,48805.0,70843.0,Commercial Insurance Premium,2014,2015,December,5,Female,31
3319,TATA AIG General Insurance,3110,47014.0,97856.0,Personal Insurance Premium,2017,2018,December,1,Male,51
3320,TATA AIG General Insurance,3079,43146.0,93051.0,Personal Insurance Premium,2018,2019,April,4,Female,58
3321,HDFC ERGO General Insurance,4744,22695.0,69483.0,Personal Insurance Premium,2014,2015,June,8,Male,66
3322,TATA AIG General Insurance,3437,32709.0,59916.0,Commercial Insurance Premium,2017,2018,January,8,Male,34
3324,The New India Assurance,3126,44037.0,53020.0,Personal Insurance Premium,2017,2018,July,9,Female,42
3325,TATA AIG General Insurance,4715,23376.0,31192.0,Commercial Insurance Premium,2016,2017,May,5,Male,74
3326,The Oriental Insurance Company,2886,33305.0,27898.0,Personal Insurance Premium,2015,2016,December,4,Female,37
3327,ICICI Lombard General Insurance,4634,38205.0,71844.0,Personal Insurance Premium,2015,2016,January,3,Male,72
3328,The New India Assurance,2678,30877.0,87015.0,Commercial Insurance Premium,2017,2018,October,10,Female,55
3329,The Oriental Insurance Company,3528,33855.0,73410.0,Commercial Insurance Premium,2014,2015,October,8,Female,65
3332,TATA AIG General Insurance,2632,25400.0,33886.0,Personal Insurance Premium,2014,2015,April,7,Male,76
3333,HDFC ERGO General Insurance,3705,30196.0,83816.0,Commercial Insurance Premium,2015,2016,March,4,Female,30
3334,ICICI Lombard General Insurance,1806,39938.0,68076.0,Commercial Insurance Premium,2016,2017,January,4,Male,32
3335,TATA AIG General Insurance,2097,45132.0,58414.0,Commercial Insurance Premium,2017,2018,January,9,Male,66
3336,The Oriental Insurance Company,4714,37900.0,44667.0,Commercial Insurance Premium,2014,2015,July,1,Male,32
3337,ICICI Lombard General Insurance,2249,32186.0,44030.0,Personal Insurance Premium,2015,2016,March,8,Male,70
3339,TATA AIG General Insurance,4035,25182.0,49726.0,Personal Insurance Premium,2016,2017,August,5,Female,63
3340,TATA AIG General Insurance,3228,24037.0,76165.0,Personal Insurance Premium,2018,2019,October,7,Male,32
3341,The New India Assurance,4119,43246.0,76358.0,Personal Insurance Premium,2017,2018,July,10,Female,66
3342,ICICI Lombard General Insurance,2786,46027.0,71690.0,Commercial Insurance Premium,2018,2019,August,6,Male,35
3343,TATA AIG General Insurance,4450,46135.0,65306.0,Commercial Insurance Premium,2017,2018,March,9,Male,47
3344,The Oriental Insurance Company,2236,31785.0,48718.0,Commercial Insurance Premium,2016,2017,December,5,Female,34
3345,TATA AIG General Insurance,4342,21204.0,86102.0,Personal Insurance Premium,2016,2017,April,8,Female,46
3346,HDFC ERGO General Insurance,1259,44288.0,32647.0,Commercial Insurance Premium,2017,2018,October,9,Male,78
3347,TATA AIG General Insurance,3714,41357.0,82631.0,Commercial Insurance Premium,2018,2019,November,9,Female,58
3349,TATA AIG General Insurance,2245,30956.0,31570.0,Commercial Insurance Premium,2018,2019,August,10,Female,38
3350,ICICI Lombard General Insurance,2418,27963.0,82382.0,Commercial Insurance Premium,2018,2019,September,4,Female,27
3352,The New India Assurance,4992,38332.0,45307.0,Commercial Insurance Premium,2016,2017,January,4,Male,48
3353,The Oriental Insurance Company,1498,23869.0,25001.0,Personal Insurance Premium,2015,2016,August,3,Female,19
3354,HDFC ERGO General Insurance,1639,36791.0,24646.0,Commercial Insurance Premium,2017,2018,October,4,Female,46
3355,The New India Assurance,3489,48148.0,63292.0,Personal Insurance Premium,2014,2015,April,9,Female,64
3356,The New India Assurance,1157,31532.0,78831.0,Commercial Insurance Premium,2017,2018,April,5,Male,25
3357,The New India Assurance,4106,49816.0,34433.0,Personal Insurance Premium,2015,2016,October,1,Male,32
3358,TATA AIG General Insurance,4547,44461.0,23950.0,Personal Insurance Premium,2018,2019,April,9,Female,57
3359,The Oriental Insurance Company,4549,35218.0,28234.0,Commercial Insurance Premium,2015,2016,June,1,Female,30
3360,TATA AIG General Insurance,2036,28313.0,93510.0,Commercial Insurance Premium,2015,2016,August,9,Male,38
3361,TATA AIG General Insurance,4188,31007.0,82415.0,Commercial Insurance Premium,2015,2016,January,3,Male,62
3362,ICICI Lombard General Insurance,1683,33520.0,27230.0,Personal Insurance Premium,2018,2019,October,2,Male,58
3364,HDFC ERGO General Insurance,1005,34063.0,50111.0,Personal Insurance Premium,2015,2016,June,5,Male,23
3366,TATA AIG General Insurance,2609,20786.0,49698.0,Commercial Insurance Premium,2016,2017,January,9,Female,44
3367,ICICI Lombard General Insurance,2378,30232.0,34721.0,Commercial Insurance Premium,2016,2017,July,1,Female,73
3368,ICICI Lombard General Insurance,4814,40194.0,71161.0,Commercial Insurance Premium,2015,2016,July,10,Male,75
3370,TATA AIG General Insurance,1659,28175.0,97694.0,Personal Insurance Premium,2018,2019,December,6,Male,29
3371,The Oriental Insurance Company,1143,40840.0,66185.0,Personal Insurance Premium,2018,2019,October,9,Female,36
3372,ICICI Lombard General Insurance,3231,38345.0,94727.0,Personal Insurance Premium,2014,2015,July,5,Male,54
3373,The New India Assurance,2990,26216.0,31678.0,Personal Insurance Premium,2014,2015,August,6,Male,18
3374,The Oriental Insurance Company,2526,43138.0,58594.0,Commercial Insurance Premium,2016,2017,August,2,Female,58
3376,The Oriental Insurance Company,2191,47554.0,37990.0,Commercial Insurance Premium,2015,2016,May,8,Male,59
3377,HDFC ERGO General Insurance,3779,46789.0,62951.0,Commercial Insurance Premium,2017,2018,April,4,Female,51
3379,TATA AIG General Insurance,1635,26359.0,96328.0,Personal Insurance Premium,2015,2016,December,10,Female,72
3380,The New India Assurance,3157,47635.0,47212.0,Commercial Insurance Premium,2016,2017,April,2,Male,59
3381,TATA AIG General Insurance,4751,44297.0,68139.0,Personal Insurance Premium,2018,2019,January,9,Male,63
3382,The Oriental Insurance Company,1899,49871.0,60203.0,Personal Insurance Premium,2018,2019,December,9,Female,69
3383,ICICI Lombard General Insurance,1358,43716.0,91774.0,Personal Insurance Premium,2018,2019,November,9,Female,46
3385,HDFC ERGO General Insurance,2836,37016.0,64084.0,Commercial Insurance Premium,2018,2019,June,5,Male,59
3386,TATA AIG General Insurance,3770,29462.0,77635.0,Personal Insurance Premium,2015,2016,October,3,Female,46
3387,ICICI Lombard General Insurance,2220,35102.0,44786.0,Personal Insurance Premium,2014,2015,June,5,Female,49
3388,TATA AIG General Insurance,1349,27753.0,48250.0,Personal Insurance Premium,2016,2017,May,4,Male,36
